"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"974799","occ","","","116119","Estherites wianamatensis","species","198369","","Estherites wianamatensis","species","198368","Ladinian","","242","237","37426"
"974800","occ","","","116119","Euestheria n. sp. azambujai","species","198365","","Euestheria azambujai","species","198365","Ladinian","","242","237","37426"
"991415","occ","","","119697","Antronestheriidae indet.","family","134378","","Antronestheriidae","family","134378","Late Hauterivian","","136.4","130","38390"
"1007162","occ","","","122855","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Berriasian","Barremian","145","125","39158"
"1014652","occ","","","123117","Lioestheria sp.","genus","222093","","Lioestheria","genus","179624","Kinderhookian","","358.9","353.8","491"
"1016626","occ","","","80112","Lioestheria monticula","species","222094","","Lioestheria monticula","species","222094","Artinskian","","290.1","279.3","40162"
"1019155","occ","","","124386","cf. Lioestheria pseudotenella","species","222093","species not entered","Lioestheria","genus","179624","Asselian","","298.9","295.5","40358"
"1091188","occ","","","117454","Euestheria forbesi","species","198361","species not entered","Euestheria","genus","198361","Middle Triassic","","247.2","237","43850"
"1095022","occ","","","138158","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Asselian","Sakmarian","298.9","290.1","41866"
"1096007","occ","","","122593","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Westphalian C","","314.6","311.45","41866"
"1096018","occ","","","122606","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Asselian","Sakmarian","298.9","290.1","41866"
"1096085","occ","","","138157","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Stephanian","","306.95","298.9","41866"
"1096094","occ","","","138376","Estheria tenella","species","237020","recombined as","Pseudestheria tenella","species","237027","Asselian","Sakmarian","298.9","290.1","41866"
"1100712","occ","","","138972","Spinicaudata indet.","suborder","57393","","Spinicaudata","suborder","57393","Aegean","Bithynian","247.2","242","44661"
"1178732","occ","","","151884","Estheria ovata","species","469849","recombined as","Lioestheria ovata","species","469848","Triassic","","252.17","201.3","48531"
"1181595","occ","","","123024","Menucoestheria terneraensis","species","282430","","Menucoestheria terneraensis","species","282430","Carnian","","237","228","48946"
"1181596","occ","","","123024","Polygrapta troncosoi","species","282435","","Polygrapta troncosoi","species","282434","Carnian","","237","228","48946"
"1188288","occ","","","123933","Turfanograpta sp.","genus","285939","","Turfanograpta","genus","285939","Aptian","","125","113","49475"
"1191913","occ","","","92421","Euestheria sp.","genus","198361","","Euestheria","genus","198361","Late Bathonian","Early Kimmeridgian","167.7","150.8","49934"
